time m <n0> <n1>  nActive
61.9 202 0.507903076903 0.499890675672 39
62 189 0.507884004404 0.499899464015 39
62.1 190 0.507864494717 0.499908559765 39
62.2 186 0.507844542358 0.499917960047 39
62.3 196 0.507824141611 0.499927650119 39
62.4 202 0.507803285341 0.499937609554 39
62.5 193 0.507781969807 0.499947808266 39
62.6 190 0.507760189378 0.499958220303 39
62.7 203 0.507737941326 0.499968806061 39
62.8 194 0.507715220838 0.499979530834 39
62.9 195 0.507692026376 0.49999035595 39
63 190 0.507668355572 0.500001241457 39
63.1 188 0.507644209042 0.500012144984 39
63.2 191 0.507619585509 0.500023027941 39
63.3 205 0.507594489155 0.50003385411 39
63.4 193 0.507568919115 0.50004459104 39
63.5 192 0.507542878657 0.500055210291 39
63.6 192 0.507516372143 0.500065689706 39
