# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
12.5 480 36 70.981268 -0.155853975226 -0.391285220233 0.500001305716 -0.236886825125 -2.19156762862e-07 -0.10175232446 -0.087458695071
12.6 482 36 84.663511 -0.156428694134 -0.390443791126 0.500001297458 -0.2368865114 -6.19763870995e-07 -0.10175219615 -0.0875358172616
12.7 484 41 93.672041 -0.156999717463 -0.389605229839 0.500001280839 -0.236886198565 -1.04312619214e-06 -0.101752069342 -0.0876094039357
12.8 486 33 87.099382 -0.157567188032 -0.388769375705 0.500001257065 -0.236885936705 -1.4195103882e-06 -0.101751956606 -0.0876796652662
12.9 488 35 88.186409 -0.158131234822 -0.387936050663 0.500001224546 -0.236885690801 -1.86166200254e-06 -0.101751851694 -0.0877468432188
13 490 37 94.250975 -0.158691953595 -0.387105113981 0.500001183085 -0.236885424383 -2.30373735049e-06 -0.101751737427 -0.0878111825024
13.1 492 34 91.999961 -0.159249448315 -0.386276374069 0.500001131825 -0.236885222152 -2.8061886754e-06 -0.10175165631 -0.0878729527119
13.2 494 36 101.859809 -0.159803805037 -0.38544965505 0.500001070746 -0.236885094385 -3.29029906867e-06 -0.101751589562 -0.0879324297936
13.3 496 35 97.763328 -0.160355030558 -0.384624788728 0.500000999098 -0.236884967081 -3.83779007554e-06 -0.10175152635 -0.0879898908183
13.4 498 35 93.89864 -0.160903202214 -0.383801598025 0.500000918179 -0.236884888148 -4.30916076323e-06 -0.101751493232 -0.0880456204723
13.5 500 35 84.008669 -0.161448317513 -0.382979904544 0.500000826862 -0.236884860385 -4.82627222142e-06 -0.101751473656 -0.0880999078399
13.6 500 36 84.736428 -0.161990389079 -0.382159553536 0.50000072541 -0.236884874381 -5.33144123669e-06 -0.101751468271 -0.0881530286021
13.7 500 34 79.216235 -0.162529396451 -0.381340384982 0.500000614105 -0.236884939564 -5.81737185069e-06 -0.101751481611 -0.0882052775391
13.8 500 33 83.065377 -0.163065310404 -0.380522245892 0.50000049294 -0.23688502201 -6.30622198214e-06 -0.101751504636 -0.0882569207006
13.9 500 35 85.659369 -0.163598086064 -0.379704996985 0.500000362627 -0.236885155769 -6.76021800908e-06 -0.101751546996 -0.0883082301447
14 500 35 86.332783 -0.164127652427 -0.378888509607 0.500000224041 -0.236885329682 -7.15931489269e-06 -0.101751605083 -0.0883594579335
14.1 500 35 94.686549 -0.16465397752 -0.378072665521 0.500000077086 -0.236885508676 -7.55463396216e-06 -0.101751668261 -0.088410859027
14.2 500 36 87.033112 -0.165176965078 -0.377257350775 0.499999921708 -0.236885771683 -7.97452169528e-06 -0.101751762221 -0.0884626613071
14.3 500 38 94.652593 -0.165696520158 -0.376442466789 0.49999975728 -0.236886041782 -8.4053369101e-06 -0.101751861027 -0.0885150844213
14.4 500 36 88.419956 -0.166212540989 -0.375627968571 0.499999585225 -0.236886359502 -8.77491637041e-06 -0.101751980709 -0.0885683341314
14.5 500 35 98.235871 -0.166724939003 -0.374813722121 0.499999406758 -0.236886767552 -9.06456702525e-06 -0.101752136948 -0.0886225644862
14.6 500 35 100.504764 -0.167233603122 -0.373999736524 0.499999221898 -0.236887076661 -9.38736204537e-06 -0.101752252853 -0.0886779696449
14.7 500 36 102.00865 -0.167738410425 -0.373185962131 0.499999031611 -0.236887486737 -9.64170477175e-06 -0.10175241064 -0.0887346640145
14.8 500 35 86.609929 -0.168239272637 -0.372372363889 0.499998837127 -0.236887914002 -9.83572997025e-06 -0.101752577156 -0.0887927713802
14.9 500 36 83.377489 -0.168736062749 -0.37155894639 0.499998638569 -0.236888353959 -1.00134689039e-05 -0.101752750069 -0.0888523896573
15 500 35 82.311127 -0.169228661704 -0.37074570365 0.499998436876 -0.236888855531 -1.0148534521e-05 -0.101752946733 -0.0889135934005
15.1 500 35 87.931479 -0.169716980932 -0.369932654782 0.499998233044 -0.236889290994 -1.02293955508e-05 -0.101753120741 -0.0889764280831
15.2 500 37 91.030758 -0.170200903051 -0.369119860729 0.499998026448 -0.236889745123 -1.03398244363e-05 -0.101753299343 -0.0890409259076
15.3 500 34 79.027707 -0.17068032251 -0.368307369552 0.499997819937 -0.23689028136 -1.0332498361e-05 -0.101753510734 -0.0891071050427
15.4 500 35 87.983976 -0.171155161883 -0.367495215456 0.499997614746 -0.236890808739 -1.02220723638e-05 -0.101753719137 -0.0891749381696
15.5 500 36 84.100523 -0.171625325861 -0.366683496527 0.499997411498 -0.236891294599 -1.01041271668e-05 -0.101753916869 -0.089244385015
15.6 500 35 95.759253 -0.172090747396 -0.365872267474 0.499997211693 -0.236891802015 -9.9049661806e-06 -0.101754122941 -0.0893153985133
15.7 500 35 100.863697 -0.172551330024 -0.365061628512 0.499997014866 -0.236892276774 -9.72657758282e-06 -0.101754318971 -0.0893879041858
15.8 500 35 86.872291 -0.17300704842 -0.364251699636 0.499996822965 -0.236892660985 -9.47163388851e-06 -0.10175447748 -0.0894618049227
15.9 500 43 89.69078 -0.173457842593 -0.363442571678 0.499996636592 -0.236893092202 -9.16759647257e-06 -0.101754657206 -0.0895369959038
16 500 39 90.0141 -0.17390367105 -0.362634353173 0.499996456464 -0.236893527516 -8.83555060752e-06 -0.101754837388 -0.0896133522863
16.1 500 37 98.672763 -0.174344522616 -0.361827194703 0.499996282799 -0.236893891078 -8.48577922388e-06 -0.10175498773 -0.0896907376045
16.2 500 37 91.530336 -0.174780370516 -0.361021195887 0.49999611748 -0.236894267164 -8.03195739646e-06 -0.101755147177 -0.0897689911975
16.3 500 42 79.324286 -0.175211232022 -0.360216469786 0.499995961666 -0.236894577853 -7.54194096579e-06 -0.101755280774 -0.0898479593505
16.4 500 35 74.530571 -0.175637108335 -0.359413159934 0.499995815902 -0.236894875724 -7.03985133354e-06 -0.101755408355 -0.0899274825856
16.5 500 37 84.678744 -0.176058031125 -0.358611389414 0.499995680218 -0.236895103833 -6.51219654613e-06 -0.101755510439 -0.0900073842144
16.6 500 39 87.873902 -0.176474034246 -0.35781127856 0.499995555468 -0.236895353748 -5.94941110645e-06 -0.101755615668 -0.0900874722813
16.7 500 37 74.528205 -0.176885165099 -0.357012952364 0.499995442635 -0.236895530502 -5.34999247929e-06 -0.101755696665 -0.0901675743441
16.8 500 35 90.551548 -0.177291498406 -0.356216525947 0.499995341975 -0.236895586263 -4.71872810976e-06 -0.101755739244 -0.0902474983493
16.9 500 35 81.784561 -0.177693085731 -0.355422113669 0.499995254648 -0.236895647129 -4.05194182545e-06 -0.101755783038 -0.0903270763418
17 500 38 85.69268 -0.178090014497 -0.354629811742 0.49999517967 -0.23689566915 -3.43005683779e-06 -0.101755800492 -0.0904061125673
17.1 500 37 80.55845 -0.178482382136 -0.353839754853 0.499995117384 -0.236895598419 -2.78255865453e-06 -0.101755783702 -0.0904844231018
17.2 500 48 92.527902 -0.178870290285 -0.353051999366 0.499995070026 -0.236895498333 -2.04662592538e-06 -0.101755758816 -0.0905618613786
17.3 500 45 88.195625 -0.179253846144 -0.352266640332 0.499995035757 -0.236895444659 -1.40156962888e-06 -0.101755748725 -0.0906382480667
17.4 500 48 113.764353 -0.179633162667 -0.351483755532 0.499995014043 -0.236895326874 -7.69882657577e-07 -0.10175571407 -0.090713425399
17.5 500 42 85.126917 -0.180008361774 -0.35070340596 0.499995005441 -0.236895218973 -1.44079880051e-07 -0.101755680747 -0.0907872535345
17.6 500 40 65.106687 -0.18037956514 -0.349925644185 0.499995009051 -0.236895011488 4.7702006175e-07 -0.101755610773 -0.0908596052522
17.7 500 38 68.300428 -0.180746908132 -0.349150519562 0.499995024802 -0.236894735683 1.08503752744e-06 -0.10175551216 -0.0909303602885
17.8 500 38 79.009318 -0.181110507121 -0.348378068594 0.499995052376 -0.23689444395 1.66884477517e-06 -0.101755407531 -0.0909993946113
17.9 500 45 78.3698 -0.181470523351 -0.347608302921 0.499995091537 -0.236894031108 2.24200694984e-06 -0.10175525562 -0.0910666323638
18 500 40 90.681578 -0.181827074949 -0.346841232119 0.499995141888 -0.236893667255 2.7810520099e-06 -0.101755123084 -0.0911319774379
18.1 500 39 92.10163 -0.18218031147 -0.346076878474 0.49999520194 -0.236893203817 3.26634547191e-06 -0.101754949229 -0.0911953741968
