bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
32  0.121103 0.157148 12 8   1.2377 0.00943707 31   0.0309574
32.1  0.121137 0.161858 12 8   1.23845 0.00948291 31   0.0307369
32.2  0.107877 0.15954 12 8   1.23834 0.00945957 31   0.0311074
32.3  0.108007 0.157709 12 8   1.2396 0.00950805 31   0.0305072
32.4  0.114566 0.158736 12 8   1.23855 0.00943484 31   0.0304989
32.5  0.114591 0.160908 12 8   1.23762 0.00950172 31   0.0305603
32.6  0.114502 0.160986 12 8   1.23854 0.00946585 31   0.0306887
32.7  0.127717 0.161344 12 8   1.23786 0.00947038 31   0.0308811
32.8  0.12129 0.154319 12 9   1.23908 0.00946357 31   0.0311327
32.9  0.120786 0.1741 12 8   1.23915 0.00945901 31   0.0314386
33  0.120676 0.174162 12 8   1.2394 0.00947229 31   0.0317932
33.1  0.113651 0.158458 12 8   1.23918 0.00943454 31   0.0321903
33.2  0.120726 0.15989 12 8   1.24005 0.00947619 31   0.0326235
33.3  0.120671 0.161424 12 8   1.24007 0.00944515 31   0.00760559
33.4  0.106655 0.163609 12 8   1.2397 0.00949716 31   0.00778971
33.5  0.113771 0.164429 12 8   1.23907 0.00948812 31   0.00648681
33.6  0.127485 0.165537 12 8   1.23904 0.00947543 31   0.0117087
33.7  0.11413 0.16234 12 8   1.23926 0.00948859 31   0.0351079
33.8  0.120775 0.155995 12 8   1.23827 0.00954896 31   0.00517548
33.9  0.114101 0.168419 12 8   1.23807 0.00949428 31   0.036137
34  0.114048 0.162495 12 8   1.23772 0.00946906 31   0.0123889
34.1  0.127444 0.174149 12 8   1.23957 0.00954767 32   0.0120563
34.2  0.12114 0.167538 12 8   1.2403 0.00950363 32   0.0375871
34.3  0.127527 0.163266 12 8   1.23947 0.00948116 32   0.0380283
34.4  0.120842 0.167003 12 8   1.23974 0.00947236 32   0.00820608
34.5  0.107329 0.157497 12 8   1.24062 0.00951585 32   0.00535325
34.6  0.114238 0.157108 12 8   1.24096 0.00947312 32   0.0391768
34.7  0.113943 0.15692 12 8   1.24043 0.00945594 32   0.0394921
34.8  0.114592 0.163544 12 8   1.2411 0.00949145 32   0.0397698
34.9  0.108001 0.162198 12 8   1.24124 0.0095052 32   0.0400083
35  0.114933 0.164581 12 8   1.24156 0.00950022 32   0.0402062
35.1  0.100879 0.16368 12 8   1.24234 0.00944948 32   0.00162842
35.2  0.114511 0.17434 12 8   1.24166 0.00946747 32   0.0108557
35.3  0.108063 0.163599 12 8   1.24102 0.00947245 32   0.0405462
35.4  0.108005 0.170157 12 8   1.24276 0.00947162 32   0.0174784
35.5  0.114366 0.173659 12 8   1.24282 0.00947348 32   0.03676
35.6  0.101061 0.168798 12 8   1.24233 0.00948986 32   0.00774991
35.7  0.114537 0.169518 12 8   1.24469 0.00944807 32   0.0110402
35.8  0.107793 0.159616 12 8   1.24382 0.00949267 32   0.00542854
35.9  0.114408 0.165281 12 8   1.24411 0.0094367 32   0.0400714
